date,signal,short_mavg,long_mavg,positions
2018-09-29 02:00:00,1.0,5653.125000000003,5633.16,1.0
2018-09-30 02:00:00,1.0,5700.675000000003,5650.46,0.0
2018-10-01 02:00:00,1.0,5685.475000000003,5644.8099999999995,0.0
2018-10-02 02:00:00,1.0,5665.450000000003,5636.9800000000005,0.0
2018-10-03 02:00:00,1.0,5653.750000000002,5629.9400000000005,0.0
2018-10-04 02:00:00,1.0,5654.725000000002,5639.060000000001,0.0
2018-10-05 02:00:00,1.0,5666.500000000002,5664.340000000002,0.0
2018-10-06 02:00:00,0.0,5682.275000000002,5683.850000000001,-1.0
2018-10-07 02:00:00,1.0,5699.675000000002,5679.0700000000015,1.0
2018-10-08 02:00:00,1.0,5716.200000000003,5683.880000000002,0.0
2018-10-09 02:00:00,1.0,5721.200000000003,5691.5700000000015,0.0
2018-10-10 02:00:00,1.0,5715.425000000003,5689.750000000002,0.0
2018-10-11 02:00:00,0.0,5621.375000000004,5653.430000000002,-1.0
2018-10-12 02:00:00,0.0,5524.4500000000035,5627.480000000001,0.0
2018-10-13 02:00:00,0.0,5434.9500000000035,5604.050000000001,0.0
2018-10-14 02:00:00,0.0,5357.0750000000035,5570.690000000001,0.0
2018-10-15 02:00:00,0.0,5417.350000000003,5553.770000000002,0.0
2018-10-16 02:00:00,0.0,5473.475000000003,5543.960000000002,0.0
2018-10-17 02:00:00,0.0,5528.500000000004,5535.580000000002,0.0
2018-10-18 02:00:00,1.0,5584.5750000000035,5518.040000000002,1.0
2018-10-19 02:00:00,1.0,5585.875000000004,5499.640000000001,0.0
2018-10-20 02:00:00,1.0,5582.875000000004,5490.940000000001,0.0
2018-10-21 02:00:00,1.0,5574.550000000003,5516.850000000002,0.0
2018-10-22 02:00:00,1.0,5577.225000000002,5539.150000000002,0.0
2018-10-23 02:00:00,1.0,5581.125000000002,5558.110000000002,0.0
2018-10-24 02:00:00,1.0,5592.800000000002,5585.230000000001,0.0
2018-10-25 02:00:00,1.0,5605.400000000002,5592.0700000000015,0.0
